genome start end	
2537561614 2537971464 2537973542
2706794513 2707138452 2707140384
2671180455 2672840818 2672842993
2703718602 2703723027 2703725088
2657245526 2659333648 2659335684
2529293238 2531696133 2531698158
2531839518 2533829750 2533832115
2671180806 2674252685 2674254729
2703719449 2706779319 2706781306
2600254960 2600464364 2600466677
2724679386 2726642359 2726644315
2660238006 2660650268 2660652438
2548876651 2549256532 2549258761
2548876605 2549158156 2549159984
2663763077 2665550075 2665552312
2663763387 2666821341 2666823544
2534682114 2536637992 2536639887
2660238698 2663432850 2663435042
2667527725 2669217758 2669219812
2597489979 2598161710 2598163585
2703718736 2704178822 2704180810
2693429641 2694018375 2694020506
2537562068 2539689289 2539691504
2548876601 2549150551 2549152346
2687453156 2687684489 2687686729
2531839597 2534139032 2534141431
2671180985 2675014858 2675017059
2703718705 2704115852 2704117890
2657245577 2659534105 2659536161
2687453388 2688578016 2688580239
2671181048 2675271522 2675273588
2529293181 2531497908 2531500016
2684623183 2687094214 2687096308
2537561810 2538720601 2538722936
2603880026 2605583645 2605586421
2690316122 2692334674 2692336659
2534681982 2536195968 2536197894
2675903418 2677891014 2677892975
2660238617 2663105719 2663107929
2690316192 2692634922 2692636975
2671180966 2674935610 2674937765
2713897013 2715216718 2715218860
2531839688 2534480624 2534482826
2537561542 2537720698 2537722749
2703718980 2705232027 2705234065
2529293115 2531277491 2531279677
2529293126 2531303167 2531305384
2695420433 2695972462 2695974500
2681813078 2682773145 2682775350
2690316043 2692016587 2692018647
2734482762 2737293007 2737295036
2713897032 2715258266 2715260342
2706794401 2706796442 2706798443
2740892339 2743084995 2743087163
2684622565 2684875397 2684877438
2737471905 2738214560 2738216816
2690315811 2691174864 2691177008
2734482742 2737252092 2737254144
2740892330 2743065412 2743067599
2671180479 2672943590 2672945625
2671181182 2675851587 2675853460
2703718711 2704128093 2704130113
2737472000 2738421716 2738423459
2775507214 2777948881 2777950557
641736171 642345559 642347659
2684623197 2687145715 2687147515
2663763481 2667215044 2667217118
2671180793 2674202751 2674204932
2724678961 2724809228 2724811132
645058718 645235477 645237575
2558860300 2559483885 2559485905
2534682075 2536506737 2536508703
2667527674 2669013185 2669015243
2534682189 2536893028 2536895303
2703718606 2703731792 2703733958
2537561989 2539396791 2539399218
2558860317 2559517835 2559519887
2684622779 2685664191 2685666212
2600255124 2601025825 2601027889
2703718709 2704124014 2704126052
2627854261 2630833919 2630835698
2545824526 2545910124 2545912459
2703718723 2704152481 2704154501
2558860310 2559503820 2559505771
2667527498 2668385351 2668387376
2537561921 2539154173 2539156420
2690316070 2692127655 2692129606
2548876569 2549089414 2549091198
2558860337 2559557110 2559559071
2558860330 2559543556 2559545468
2728368965 2728613917 2728616086
2690315937 2691623815 2691625722
2531839694 2534494864 2534497069
2690315965 2691697136 2691699228
2558860293 2559470119 2559472041
2690315897 2691481906 2691483873
2558860303 2559489911 2559491858
2537561920 2539151881 2539154166
2545824732 2546603343 2546605549
2671180912 2674711722 2674713784
2684622785 2685676358 2685678369
2700989329 2702187091 2702189150
2684622528 2684727823 2684729930
2713896911 2714839208 2714841379
2663762944 2665038407 2665040593
2681813443 2684155965 2684158151
2675903341 2677567766 2677570017
2724679488 2727022062 2727024237
2737471996 2738414649 2738416450
2737471968 2738348830 2738351098
2684622598 2685012268 2685014477
2737471886 2738173787 2738176099
2744054690 2745295822 2745297819
2660238234 2661561948 2661563927
2660238652 2663239140 2663241205
2671180425 2672721247 2672723295
640963052 641080735 641083174
2684622844 2685854340 2685856478
2698536389 2698888056 2698890197
2734482686 2737138192 2737140180
2660237979 2660550108 2660552269
2690316005 2691858554 2691860732
640753055 640745066 640913723
2734482621 2737006277 2737008276
2698536666 2700007364 2700009394
2734482695 2737156504 2737158526
2737471929 2738265964 2738268032
2660238139 2661178524 2661180689
2700989197 2701682623 2701684861
2737471944 2738298004 2738300240
648276743 648295406 648297695
2724679492 2727030750 2727032918
2703718611 2703742627 2703744753
2698536578 2699660973 2699662954
2718218277 2720800572 2720802877
2734482618 2737000163 2737002162
2657245616 2659676581 2659678638
2657245548 2659421242 2659423254
2675903309 2677442822 2677444900
2734482651 2737067126 2737069135
2706794499 2707108722 2707110947
2724679499 2727045780 2727048014
2737471890 2738182414 2738184499
2690316098 2692232895 2692235023
2671180802 2674237526 2674239540
2681813327 2683804611 2683806612
2718218121 2720175708 2720178095
2537561861 2538949317 2538951232
2528311138 2528750752 2528753048
2531839396 2533368912 2533370974
2703719445 2706770925 2706773078
2663763530 2667394890 2667397028
2667527718 2669196638 2669198697
2713897008 2715205908 2715208028
2660238389 2662197908 2662200052
2548876599 2549146921 2549148765
2537562061 2539666208 2539668463
2671181138 2675668185 2675670413
2690316072 2692131629 2692133812
2548876902 2550278166 2550280365
2698536323 2698629192 2698631557
2534682079 2536518203 2536520125
2548876538 2549032722 2549034555
2671180249 2671994939 2671997120
2534682247 2537124809 2537126910
2671180653 2673650396 2673652446
2537562226 2540258975 2540261158
2537562027 2539561152 2539563489
2671180889 2674611557 2674613672
2660238156 2661246705 2661248888
2663763117 2665700824 2665702874
2671180393 2672593320 2672595293
2534682065 2536481963 2536484235
2700989314 2702131472 2702133636
2706794402 2706798444 2706800590
2548876639 2549229551 2549231832
2703718622 2703766099 2703768193
2660238726 2663537214 2663539508
2558860377 2559679422 2559681359
2534682191 2536897646 2536899954
2706794502 2707115177 2707117203
2529293121 2531288567 2531290835
2684622600 2685016508 2685018729
2703718717 2704140294 2704142327
2671180300 2672205823 2672207921
2537561573 2537830839 2537833115
2648501829 2651438384 2651440694
